kind	platform	filename	sha256	origin	mirror	fallback
jdk	darwin-arm64	openjdk-25.0.2_macos-aarch64_bin.tar.gz	7581b0d1752cd5acbf39e286c03f07b6cd6c205b562eb2fe753ff0253cf4c1bf	https://download.java.net/java/GA/jdk25.0.2/b1e0dfa218384cb9959bdcb897162d4e/10/GPL/openjdk-25.0.2_macos-aarch64_bin.tar.gz	https://mirrors.huaweicloud.com/openjdk/25.0.2/openjdk-25.0.2_macos-aarch64_bin.tar.gz	https://mirrors.huaweicloud.com/repository/toolkit/openjdk/25.0.2/openjdk-25.0.2_macos-aarch64_bin.tar.gz
jdk	darwin-x64	openjdk-25.0.2_macos-x64_bin.tar.gz	4ec2f4bc47b057fdf9cda07af27fae8f3605e90fa963d4240d63baeb46ede460	https://download.java.net/java/GA/jdk25.0.2/b1e0dfa218384cb9959bdcb897162d4e/10/GPL/openjdk-25.0.2_macos-x64_bin.tar.gz	https://mirrors.huaweicloud.com/openjdk/25.0.2/openjdk-25.0.2_macos-x64_bin.tar.gz	https://mirrors.huaweicloud.com/repository/toolkit/openjdk/25.0.2/openjdk-25.0.2_macos-x64_bin.tar.gz
jdk	linux-arm64	openjdk-25.0.2_linux-aarch64_bin.tar.gz	671208d205e70c9805da45a483f670d49dd64654990a7b7223ccffb2abb070dd	https://download.java.net/java/GA/jdk25.0.2/b1e0dfa218384cb9959bdcb897162d4e/10/GPL/openjdk-25.0.2_linux-aarch64_bin.tar.gz	https://mirrors.huaweicloud.com/openjdk/25.0.2/openjdk-25.0.2_linux-aarch64_bin.tar.gz	https://mirrors.huaweicloud.com/repository/toolkit/openjdk/25.0.2/openjdk-25.0.2_linux-aarch64_bin.tar.gz
jdk	linux-x64	openjdk-25.0.2_linux-x64_bin.tar.gz	555ce0821e4fe175ea50d54518cd6fbece9663c1998de529bc6ce429534457df	https://download.java.net/java/GA/jdk25.0.2/b1e0dfa218384cb9959bdcb897162d4e/10/GPL/openjdk-25.0.2_linux-x64_bin.tar.gz	https://mirrors.huaweicloud.com/openjdk/25.0.2/openjdk-25.0.2_linux-x64_bin.tar.gz	https://mirrors.huaweicloud.com/repository/toolkit/openjdk/25.0.2/openjdk-25.0.2_linux-x64_bin.tar.gz
jdk	win32-x64	openjdk-25.0.2_windows-x64_bin.zip	74784a0c07258f32d36e9224dd79187c566d831c30d47dc06888d4212087331d	https://download.java.net/java/GA/jdk25.0.2/b1e0dfa218384cb9959bdcb897162d4e/10/GPL/openjdk-25.0.2_windows-x64_bin.zip	https://mirrors.huaweicloud.com/openjdk/25.0.2/openjdk-25.0.2_windows-x64_bin.zip	https://mirrors.huaweicloud.com/repository/toolkit/openjdk/25.0.2/openjdk-25.0.2_windows-x64_bin.zip
node	darwin-arm64	node-v26.5.1-darwin-arm64.tar.gz	f4387df0b46556516d19abf2f2d6806481ac8368aa7f9d96bafed422a56a1d01	https://nodejs.org/dist/v26.5.1/node-v26.5.1-darwin-arm64.tar.gz	https://npmmirror.com/mirrors/node/v26.5.1/node-v26.5.1-darwin-arm64.tar.gz	https://mirrors.huaweicloud.com/nodejs/v26.5.1/node-v26.5.1-darwin-arm64.tar.gz
node	darwin-x64	node-v26.5.1-darwin-x64.tar.gz	077d5c936868dab19d21f77f1e71ce13697e80b3e86a399dcab238902a2ebf93	https://nodejs.org/dist/v26.5.1/node-v26.5.1-darwin-x64.tar.gz	https://npmmirror.com/mirrors/node/v26.5.1/node-v26.5.1-darwin-x64.tar.gz	https://mirrors.huaweicloud.com/nodejs/v26.5.1/node-v26.5.1-darwin-x64.tar.gz
node	linux-arm64	node-v26.5.1-linux-arm64.tar.gz	21194bbf41c18d9ec277545c4d14cce8597d57a9d9f494c323d8121a25de33e8	https://nodejs.org/dist/v26.5.1/node-v26.5.1-linux-arm64.tar.gz	https://npmmirror.com/mirrors/node/v26.5.1/node-v26.5.1-linux-arm64.tar.gz	https://mirrors.huaweicloud.com/nodejs/v26.5.1/node-v26.5.1-linux-arm64.tar.gz
node	linux-x64	node-v26.5.1-linux-x64.tar.gz	2b07f09c218d473a26442bff5a90151f53f7b7c0a23bad244eda2c26303a2ba7	https://nodejs.org/dist/v26.5.1/node-v26.5.1-linux-x64.tar.gz	https://npmmirror.com/mirrors/node/v26.5.1/node-v26.5.1-linux-x64.tar.gz	https://mirrors.huaweicloud.com/nodejs/v26.5.1/node-v26.5.1-linux-x64.tar.gz
node	win32-x64	node-v26.5.1-win-x64.zip	c432c996b95cbf7568f13a0fbb37526de84a27e3a5c520c3be15f05a9a168212	https://nodejs.org/dist/v26.5.1/node-v26.5.1-win-x64.zip	https://npmmirror.com/mirrors/node/v26.5.1/node-v26.5.1-win-x64.zip	https://mirrors.huaweicloud.com/nodejs/v26.5.1/node-v26.5.1-win-x64.zip
node	win32-arm64	node-v26.5.1-win-arm64.zip	467f425228a2fdcc83a330f5f38b124b5b43b42f5033d7848b4e47c9becc36f9	https://nodejs.org/dist/v26.5.1/node-v26.5.1-win-arm64.zip	https://npmmirror.com/mirrors/node/v26.5.1/node-v26.5.1-win-arm64.zip	https://mirrors.huaweicloud.com/nodejs/v26.5.1/node-v26.5.1-win-arm64.zip
pnpm	darwin-arm64	pnpm-darwin-arm64.tar.gz	ca6f98a8911ec975509464026205e2b54aed74cecd36c5ae9932e5997bd7de2a	https://github.com/pnpm/pnpm/releases/download/v11.9.0/pnpm-darwin-arm64.tar.gz	https://ghfast.top/https://github.com/pnpm/pnpm/releases/download/v11.9.0/pnpm-darwin-arm64.tar.gz	https://gh-proxy.com/https://github.com/pnpm/pnpm/releases/download/v11.9.0/pnpm-darwin-arm64.tar.gz
pnpm	linux-arm64	pnpm-linux-arm64.tar.gz	7981d0109fffdf8f15b838243240c8c9f9114dd4b7111d4227c1453522d75b61	https://github.com/pnpm/pnpm/releases/download/v11.9.0/pnpm-linux-arm64.tar.gz	https://ghfast.top/https://github.com/pnpm/pnpm/releases/download/v11.9.0/pnpm-linux-arm64.tar.gz	https://gh-proxy.com/https://github.com/pnpm/pnpm/releases/download/v11.9.0/pnpm-linux-arm64.tar.gz
